id,name,source,notes,construction_type
D01,Light and lacy square,SRC02,Page 36,holey
D02,03 Steppingstone 1,SRC03,Page 41,solid
D03,02 Equilibrium,SRC03,Page 40,solid
D04,Cypress,SRC01,https://cypresstextiles.net/2018/07/20/crochet-motif-cypress-square/,holey
D05,01 Tic Tac Toe,SRC03,Page 16,solid
D06,099 Iris,SRC04,Page 52,holey
D07,036 Shallow Nupp Pattern,SRC04,Page 22,solid
D08,Melissa,SRC01,,holey
D09,Ribbing Around Square,SRC05,Page 40,solid
D10,Alternating Filet Square,SRC05,,holey
D11,Ribbed Cross Square,SRC05,Page 38,solid
D12,"Checkered Square ",SRC05,Page 83,solid
D13,Cluster Ring Square,SRC05,,holey
D14,Basket Weave Square,SRC05,,solid
D15,V-Stitch Square,SRC05,,holey
D16,Pop-Star Square,SRC05,,solid
D17,Cecilia,SRC01,https://cypresstextiles.net/2016/01/17/vvcal-week-3/,holey
D18,Ribbing In and Out Square,SRC05,Page 43,solid
D19,Scots Pine,SRC01,https://cypresstextiles.net/2018/09/09/crochet-motif-scots-pine-square/,holey
D20,Acid Brights Flower,SRC06,,solid
D21,Levantine Square,SRC02,,solid
D22,Rainbow Relief,SRC06,,solid
D23,Citrus Slice,SRC06,Page 25,solid
D24,Solid Granny Square,SRC05,Page 28,solid
D25,Ombré Cross,SRC06,Page 66,solid
D26,Scattered Hearts,SRC06,Page 36,holey
D27,Dazzling Octagon,SRC06,Page 80,holey
D28,Rainbow Popcorn,SRC06,Page 14,holey
D29,Diamond Granny Tile,SRC05,Page 92,holey
D30,"Traditional Granny Square ",SRC05,,holey
D31,Superstar Square,SRC05,Page 214,solid
D32,Bobble Stripe Square,SRC05,Page 54,solid
D33,Circle Granny Square,SRC05,Page 29,solid
D35,Jacaranda,SRC01,https://cypresstextiles.net/2018/05/25/crochet-motif-jacaranda-square/,holey
D36,50/50 Popcorn Square,SRC05,Page 62,solid
D37,Chevron Square,SRC05,Page 83,solid
D38,Florence,SRC01,https://cypresstextiles.net/2020/06/12/2020-vvcal-week-10-post-1-of-2-florence-square/,holey
D39,Waffle Stitch Square,SRC05,Page 45,solid
D40,Munich,SRC01,https://cypresstextiles.net/2020/04/17/2020-vvcal-week-2-post-2-of-2-munich-square/,holey
D41,Houndstooth Pattern,SRC06,Page 46,solid
D42,Picnic Time,SRC06,Page 12,solid
D43,Popcorn Diamonds Square,SRC05,Page 64,solid
D44,Cape Town,SRC01,https://cypresstextiles.net/2020/06/05/2020-vvcal-week-9-post-1-of-2-cape-town-square/,holey
D45,Bobble Trellis Square,SRC05,Not possible to have the right size when carrying yarn. Stitches are too high.,solid
D46,Alpine Stitch Square,SRC05,Page 46,solid
D47,Crown Bobble Square,SRC05,Page 61,solid
D48,Magnolia,SRC01,https://cypresstextiles.net/2018/06/15/crochet-motif-magnolia-square/,holey
D49,Amsterdam,SRC01,https://cypresstextiles.net/2020/05/15/2020-vvcal-week-6-post-2-of-2-amsterdam-square/,holey
D50,Cluster Corners Square,SRC05,Page 70,solid
D51,Wanda,SRC01,https://cypresstextiles.net/2016/05/27/vvcal-week-20/,holey
D52,Love Heart Square,SRC05,Page 215,solid
D53,Granny Stripe Square,SRC05,Page 35.,holey
D54,Dogwood,SRC01,https://cypresstextiles.net/2018/06/07/crochet-motif-dogwood-square/,holey
D55,Filet Diamond Square,SRC05,Page 73,solid
D56,Lilly Pilly,SRC01,https://cypresstextiles.net/2018/08/10/crochet-motif-lilly-pilly-square/,holey
D57,Striped Square,SRC05,Page 34,solid
D58,Los Angeles,SRC01,https://cypresstextiles.net/2020/07/17/2020-vvcal-week-15-post-2-of-2-los-angeles-square/,holey
D59,Shell Stitch Square,SRC05,Page 48,holey
D60,Puff Diamond Square,SRC05,Page 72,solid
D61,Lupita,SRC01,https://cypresstextiles.net/2016/05/13/vvcal-week-18/,holey
