id,date,status,design_id,customization,main_yarn,extra_yarns,position,notes,construction_type
S001,2026-08-18,done,D01,"Add 2 extra rounds, 1hdc and 1 sc",Y75,,,,
S002,2026-08-18,done,D02,,Y75,Y60,,Right side design,
S003,2026-08-16,done,D04,Different and additional outer rounds,Y62,,,,
S004,2026-08-16,done,D05,"Contrast color edging ",Y62,Y78,,"Wrong side design ",
S005,2026-08-17,done,D06,Two color. The lighter color sc on top of the dark color. Not very good.,Y70,Y75,,,
S006,2026-08-17,done,D03,,Y70,Y109,,,
S007,2026-08-19,done,D07,"4x5+3 start chain (23sts). 23 rows.
Added a round of hdc (+4sts per side) and a round of sc (+2sts per side). Ch2 corners.",Y63,,,,
S008,2026-08-19,blocked,D08,,Y131,,,,
S009,2026-08-19,blocked,D09,,Y131,Y62,,,
S010,2026-08-19,blocked,D10,"Single color only ",Y131,,,,
S011,2026-07-04,done,D11,Use less color,Y131,Y66;Y67,,,
S012,2026-07-04,done,D12,Color change every 4sc instead of every 3sc,Y131,Y120,,,
