id,display_name,name,product_line,product_id,hex,pattern,skeins,partial_skein,notes
Y01,,White,Hobbii Friends Cotton 8/4,01,#e3e5ef,solid,0,no,
Y02,,Oatmilk,Hobbii Friends Cotton 8/4,03,#dfd2c9,solid,1,no,
Y03,,Cream,Hobbii Friends Cotton 8/4,04,,,0,no,
Y04,,Beige,Hobbii Friends Cotton 8/4,05,,,0,no,
Y05,,Ash Brown,Hobbii Friends Cotton 8/4,08,,,0,no,
Y06,,Nougat,Hobbii Friends Cotton 8/4,09,,,0,no,
Y07,,Cappuccino,Hobbii Friends Cotton 8/4,10,#6a4b3d,solid,1,no,
Y08,,Chestnut,Hobbii Friends Cotton 8/4,11,,,0,no,
Y09,,Chocolate,Hobbii Friends Cotton 8/4,12,,,0,no,
Y10,,Ochre,Hobbii Friends Cotton 8/4,13,,,0,no,
Y11,,Caramel,Hobbii Friends Cotton 8/4,14,,,0,no,
Y12,,Walnut,Hobbii Friends Cotton 8/4,15,,,0,no,
Y13,,Whisky,Hobbii Friends Cotton 8/4,16,,,0,no,
Y14,,Cognac,Hobbii Friends Cotton 8/4,17,,,0,no,
Y15,,Americano,Hobbii Friends Cotton 8/4,20,,,0,no,
Y16,,Pastel Yellow,Hobbii Friends Cotton 8/4,21,#e2d9af,solid,1,no,
Y17,,Lemon Curd,Hobbii Friends Cotton 8/4,22,#e8d06d,solid,1,no,
Y18,,Lemon,Hobbii Friends Cotton 8/4,23,,,0,no,
Y19,,Sunflower,Hobbii Friends Cotton 8/4,24,#f4d149,solid,1,no,
Y20,,Dark Yellow,Hobbii Friends Cotton 8/4,26,,,0,no,
Y21,,Mustard,Hobbii Friends Cotton 8/4,28,,,0,no,
Y22,,Orange,Hobbii Friends Cotton 8/4,30,,,0,no,
Y23,,Pumpkin,Hobbii Friends Cotton 8/4,31,,,0,no,
Y24,,Peach,Hobbii Friends Cotton 8/4,33,,,0,no,
Y25,,Coral,Hobbii Friends Cotton 8/4,35,,,0,no,
Y26,,Blush,Hobbii Friends Cotton 8/4,36,,,0,no,
Y27,,Rosewood,Hobbii Friends Cotton 8/4,37,,,0,no,
Y28,,Bubblegum,Hobbii Friends Cotton 8/4,38,,,0,no,
Y29,,Tomato,Hobbii Friends Cotton 8/4,40,,,0,no,
Y30,,Pomegranate,Hobbii Friends Cotton 8/4,41,,,0,no,
Y31,,Cranberry,Hobbii Friends Cotton 8/4,42,,,0,no,
Y32,,Bordeaux,Hobbii Friends Cotton 8/4,43,,,0,no,
Y33,,Rose,Hobbii Friends Cotton 8/4,44,,,0,no,
Y34,,Candyfloss,Hobbii Friends Cotton 8/4,45,,,0,no,
Y35,,Hot Pink,Hobbii Friends Cotton 8/4,46,,,0,no,
Y36,,Pink,Hobbii Friends Cotton 8/4,47,,,0,no,
Y37,,Dark Magenta,Hobbii Friends Cotton 8/4,48,,,0,no,
Y38,,Hint of Pink,Hobbii Friends Cotton 8/4,50,,,0,no,
Y39,,Baby Pink,Hobbii Friends Cotton 8/4,51,,,0,no,
Y40,,Dusty Rose,Hobbii Friends Cotton 8/4,52,,,0,no,
Y41,,Antique Rose,Hobbii Friends Cotton 8/4,53,,,0,no,
Y42,,Pink Berry Smoothie,Hobbii Friends Cotton 8/4,54,,,0,no,
Y43,,Mulberry,Hobbii Friends Cotton 8/4,55,,,0,no,
Y44,,Wild Berry,Hobbii Friends Cotton 8/4,56,,,0,no,
Y45,,Dusty Mauve,Hobbii Friends Cotton 8/4,58,,,0,no,
Y46,,Mauve,Hobbii Friends Cotton 8/4,59,,,0,no,
Y47,,Black Cherry,Hobbii Friends Cotton 8/4,60,,,0,no,
Y48,,Thistle,Hobbii Friends Cotton 8/4,61,,,0,no,
Y49,,Plum,Hobbii Friends Cotton 8/4,62,,,0,no,
Y50,,Lilac,Hobbii Friends Cotton 8/4,63,,,0,no,
Y51,,Nightshade,Hobbii Friends Cotton 8/4,64,,,0,no,
Y52,,Grape,Hobbii Friends Cotton 8/4,65,,,0,no,
Y53,,Faint Purple,Hobbii Friends Cotton 8/4,66,,,0,no,
Y54,,Misty Violet,Hobbii Friends Cotton 8/4,67,,,0,no,
Y55,,Purple Rain,Hobbii Friends Cotton 8/4,70,,,0,no,
Y56,,Black Currant,Hobbii Friends Cotton 8/4,71,#2b1b45,solid,1,no,
Y57,,Cool Iris,Hobbii Friends Cotton 8/4,72,#8f94cf,solid,1,no,
Y58,,Lavender,Hobbii Friends Cotton 8/4,73,#8673ac,solid,1,no,
Y59,,Dark Violet,Hobbii Friends Cotton 8/4,74,#4b3771,solid,1,no,
Y60,,Baby Blue,Hobbii Friends Cotton 8/4,75,#c5cbd5,solid,01,yes,
Y61,,Icy Blue,Hobbii Friends Cotton 8/4,76,#9cafba,solid,02,yes,
Y62,,Arctic Blue,Hobbii Friends Cotton 8/4,77,#7790a7,solid,01,yes,
Y63,,Open Sea,Hobbii Friends Cotton 8/4,79,#32495d,solid,2,yes,
Y64,,Denim,Hobbii Friends Cotton 8/4,80,#3d4851,solid,01,yes,
Y65,,Prussian Blue,Hobbii Friends Cotton 8/4,82,#2a425b,solid,01,yes,
Y66,,Cornflower,Hobbii Friends Cotton 8/4,83,#7e8fb4,solid,02,yes,
Y67,,French Blue,Hobbii Friends Cotton 8/4,84,#4b69a5,solid,2,yes,
Y68,,Sapphire,Hobbii Friends Cotton 8/4,85,#0f1d68,solid,1,no,
Y69,,Navy,Hobbii Friends Cotton 8/4,86,#202c4e,solid,1,yes,
Y70,,Midnight Blue,Hobbii Friends Cotton 8/4,87,#171d2f,solid,1,yes,
Y71,,Turkish Blue,Hobbii Friends Cotton 8/4,88,#6a9797,solid,2,no,
Y72,,Deep Ocean,Hobbii Friends Cotton 8/4,89,#263a44,solid,1,yes,
Y73,,Capri Blue,Hobbii Friends Cotton 8/4,90,#469ba6,solid,2,yes,
Y74,,Aqua,Hobbii Friends Cotton 8/4,91,#489dcb,solid,2,yes,
Y75,,Lagoon,Hobbii Friends Cotton 8/4,92,#316c94,solid,02,yes,
Y76,,Lapis Blue,Hobbii Friends Cotton 8/4,93,#2352a5,solid,2,no,
Y77,,Turquoise,Hobbii Friends Cotton 8/4,94,#65a389,solid,2,no,
Y78,,Dark Turquoise,Hobbii Friends Cotton 8/4,95,#347574,solid,2,yes,
Y79,,Teal,Hobbii Friends Cotton 8/4,96,#2c6464,solid,1,no,
Y80,,Dark Teal,Hobbii Friends Cotton 8/4,97,#284f51,solid,1,no,
Y81,,Eucalyptus,Hobbii Friends Cotton 8/4,98,#5c8170,solid,1,no,
Y82,,Pastel Green,Hobbii Friends Cotton 8/4,100,#b0debf,solid,1,no,
Y83,,Parakeet,Hobbii Friends Cotton 8/4,103,#408e46,solid,1,no,
Y84,,Shamrock,Hobbii Friends Cotton 8/4,104,#5d9634,solid,1,no,
Y85,,Emerald,Hobbii Friends Cotton 8/4,105,#2e6837,solid,1,no,
Y86,,Malachite,Hobbii Friends Cotton 8/4,106,#2f6a4a,solid,1,no,
Y87,,Pistachio,Hobbii Friends Cotton 8/4,108,#c9ca56,solid,1,no,
Y88,,Olive,Hobbii Friends Cotton 8/4,109,#a99c3c,solid,1,no,
Y89,,Jungle Green,Hobbii Friends Cotton 8/4,111,#214b28,solid,1,no,
